"Long-term changes in bird populations by species group from 1970 to 2022, Canada",,,
Long-tailed duck,Decreasing,Yes,Arctic birds
Long-tailed jaeger,Data deficient,Yes,Marine birds
Long-tailed jaeger,Data deficient,Yes,Arctic birds
Long-tailed jaeger,Data deficient,Yes,Long-distance migrants
Louisiana waterthrush,Decreasing,Yes,Long-distance migrants
Louisiana waterthrush,Decreasing,Yes,Forest birds
MacGillivray's Warbler,Stable,Yes,Forest birds
Magnolia Warbler,Stable,Yes,Forest birds
Magnolia Warbler,Stable,Yes,Long-distance migrants
Mallard,Stable,Yes,Waterfowl
Mallard,Stable,Yes,Wetland birds
Manx shearwater,Data deficient,Yes,Marine birds
Marbled godwit,Decreasing,Yes,Shorebirds
Marbled godwit,Decreasing,Yes,Grassland birds
Marbled murrelet,Decreasing,Yes,Marine birds
Marbled murrelet,Decreasing,Yes,Forest birds
Marsh wren,Increasing,Yes,Wetland birds
Merlin,Increasing,No,Birds of prey
Mountain Chickadee,Stable,Yes,Forest birds
Mountain plover,Data deficient,Yes,Shorebirds
Mountain plover,Data deficient,Yes,Grassland birds
Mourning warbler,Decreasing,Yes,Long-distance migrants
Mourning warbler,Decreasing,Yes,Forest birds
Nashville warbler,Decreasing,Yes,Forest birds
Nashville warbler,Decreasing,Yes,Long-distance migrants
Nelson's sparrow,Stable,Yes,Wetland birds
Northern bobwhite,Decreasing,No,Grassland birds
Northern fulmar,Decreasing,Yes,Marine birds
Northern gannet,Increasing,Yes,Marine birds
Northern harrier,Decreasing,No,Birds of prey
Northern harrier,Decreasing,No,Grassland birds
Northern hawk owl,Increasing,No,Birds of prey
Northern hawk owl,Increasing,No,Forest birds
Northern parula,Increasing,Yes,Long-distance migrants
Northern parula,Increasing,Yes,Forest birds
Northern pintail,Decreasing,Yes,Wetland birds
Northern pintail,Decreasing,Yes,Waterfowl
Northern pygmy-owl,Increasing,No,Forest birds
Northern pygmy-owl,Increasing,No,Birds of prey
Northern rough-winged swallow,Decreasing,Yes,Aerial insectivores
Northern saw-whet owl,Increasing,No,Forest birds
Northern saw-whet owl,Increasing,No,Birds of prey
Northern shoveler,Stable,Yes,Wetland birds
Northern shoveler,Stable,Yes,Waterfowl
Northern Waterthrush,Increasing,Yes,Forest birds
Northern Waterthrush,Increasing,Yes,Long-distance migrants
Northern wheatear,Data deficient,Yes,Long-distance migrants
Northern wheatear,Data deficient,Yes,Arctic birds
